original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
Lyophilized Powder For Solution For Injection (Im/Id),lyophilized powder for solution for injection im id,for solution for injection im id,"['im', 'id']",['injection'],solution
Powder for Injection (IM/SC),powder for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Solution For Injection (Equine),solution for injection equine,for injection equine,[],['injection'],
Solution For Injection (Iv / Sc),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution for Injection IV / SC,solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution For Injection(IV/SC),solution for injectioniv sc,for injectioniv sc,['sc'],[],
Solution For Injection(Iv/Sc),solution for injectioniv sc,for injectioniv sc,['sc'],[],
Solution for Infusion,solution for infusion,for infusion,[],['infusion'],
Solution For Injection SC / IV,solution for injection sc iv,for injection sc iv,"['sc', 'iv']",['injection'],
Solution For Injection (I.V.),solution for injection iv,for injection iv,['iv'],['injection'],
Solution For Injection I.M,solution for injection im,for injection im,['im'],['injection'],
Solultion For Injection (IV/SC),solultion for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Powder for Solution for Injection (IM/SC),powder for solution for injection im sc,for solution for injection im sc,"['im', 'sc']",['injection'],solution
Powder for Suspension (Oral Drops),powder for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
"Concentrate for Solution for Infusion 
(IV)",concentrate for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Concentrate For Solution For Injection,concentrate for solution for injection,for solution for injection,[],['injection'],solution
Concentrate for Solution For Infusion (IV),concentrate for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
"Solution for Injection 
(IV/SC)",solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
"Solution for Injection 
(IV)",solution for injection iv,for injection iv,['iv'],['injection'],
"Concentrate for Solution 
for Injection (IV Infusion)",concentrate for solution for injection iv infusion,for solution for injection iv infusion,['iv'],"['infusion', 'injection']",solution
Solution for injection (IV/SC),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
"Solution for 
Injection (IV/SC",solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution for Injection (IM/IV),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Solution For Injection (I.V., S.C.)",solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
"Solution for 
Injection (SC",solution for injection sc,for injection sc,['sc'],['injection'],
"Solution for 
Injection (SC/IV)",solution for injection sc iv,for injection sc iv,"['sc', 'iv']",['injection'],
Film-Coated Tablets,film-coated tablets,,,,
Film-Coated Tablet,film-coated tablet,,,,
Film-coated Tablet,film-coated tablet,,,,
"Concentrate for Solution for 
Infusion (IV)",concentrate for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Film Coated Tablet,film coated tablet,,,,
Sugar Coated Tablet,sugar coated tablet,,,,
Film Coated Tablets,film coated tablets,,,,
Film-Coated Tab,film-coated tab,,,,
Solution for Injection (IV/IM),solution for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Solution for Injection (I.V./I.M.),solution for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Film-coated tablet,film-coated tablet,,,,
Solution for Injection (I.M./I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Solution for Injection 
(I.M./I.V.)",solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution For Injection (I.V./I.M.),solution for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Film- Coated Tablet,film- coated tablet,,,,
Solution for Injection (I.V./I.M.,solution for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Solution For Injection (Im/Iv),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution For Injection (I.M./I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
"Solution for Injection 
(I.V./I.M./Intrasynovial)",solution for injection iv im intrasynovial,for injection iv im intrasynovial,"['im', 'intrasynovial', 'iv']",['injection'],
Film- coated tablet,film- coated tablet,,,,
Lyophilized Powder for Injection (I.V.),lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Lyophilized Powder for Solution for Infusion (I.V.),lyophilized powder for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Lyophilized Powder for Solution for Infusion (IV),lyophilized powder for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Lyophilized Powder for Injection for I.V. Infusion,lyophilized powder for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
"Lyophilized Powder for Injection for I.V. 
Infusion",lyophilized powder for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
"Lyophilized Powder for Solution for Infusion 
(I.V.)",lyophilized powder for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Lyophilized Powder For solution for Infusion (IV),lyophilized powder for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
Powder For Injection (I.M./I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Syrup,syrup,,,,
Cream,cream,,,,
Sterile Suspension (Opthalmic Drops),sterile suspension opthalmic drops,,,,
Solution For Injection (IV/IM),solution for injection iv im,for injection iv im,"['im', 'iv']",['injection'],
Otic Solution,otic solution,,,,
Suspension,suspension,,,,
Pump Spray,pump spray,,,,
Topical Cream,topical cream,,,,
Elixir (Pediatric/Geriatric),elixir pediatric geriatric,,,,
Extended Release Tablet,extended release tablet,,,,
Powder For Injection (Im/Iv),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Lotion,lotion,,,,
Vaginal Suppository,vaginal suppository,,,,
Sterile Powder For Injection (I.M./I.V.),sterile powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution for Injection (I.M.),solution for injection im,for injection im,['im'],['injection'],
Powder for Injection ( IM / IV,powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution For Injection (Im/ Iv),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder for Suspension,powder for suspension,for suspension,[],['suspension'],suspension
Solution For Iv Injection,solution for iv injection,for iv injection,['iv'],['injection'],
Topical Ointment,topical ointment,,,,
Solution For Injection (IM/IV),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Solution for IV infusion,solution for iv infusion,for iv infusion,['iv'],['infusion'],
"1,500 I.U. 100 I.U. 8.330 mg 4.160 mg 1.670 mg 8.330 mcg 8.330 mcg 1.66 mg 83.330 mg",iu iu mg mg mg mcg mcg mg mg,,,,
Sugar-Coated Tablet,sugar-coated tablet,,,,
Liquid,liquid,,,,
Jelly,jelly,,,,
OINTMENT,ointment,,,,
Pediatric Syrup,pediatric syrup,,,,
Rectal Suppository,rectal suppository,,,,
Topical Solution,topical solution,,,,
Powder For Suspension (Oral Drops),powder for suspension oral drops,for suspension oral drops,['oral'],['suspension'],suspension
Solution For Scalp Application,solution for scalp application,for scalp application,[],[],
Sterile  Solution For Injection (IM/IV/SC),sterile solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Solution For Injection (I.M. / I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Syrup (Oral Drops),syrup oral drops,,,,
Liquid Enema,liquid enema,,,,
Sustained Release Tablet,sustained release tablet,,,,
Chewable Tablet,chewable tablet,,,,
Granules for Suspension,granules for suspension,for suspension,[],['suspension'],suspension
vial,vial,,,,
Softgel Capsule,softgel capsule,,,,
Ear Drops,ear drops,,,,
capsule,capsule,,,,
Powder for Oral Suspension,powder for oral suspension,for oral suspension,['oral'],['suspension'],suspension
Sterile Ophthalmic Solution,sterile ophthalmic solution,,,,
Sterile Eye Drops,sterile eye drops,,,,
Sterile Powder for Injection (I.M./ I.V.),sterile powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder For Suspension (Strawberry Flavor),powder for suspension strawberry flavor,for suspension strawberry flavor,[],['suspension'],suspension
Powder for Injection,powder for injection,for injection,[],['injection'],
Elixir/Syrup,elixir syrup,,,,
Metered Dose Inhaler,metered dose inhaler,,,,
Solution For  Injection IV,solution for injection iv,for injection iv,['iv'],['injection'],
Syrup (Oral drops),syrup oral drops,,,,
"Solution for Injection (Epidural, Intrathecal, 
Peripheral, Local Infiltration and Peribulbar Block)",solution for injection epidural intrathecal peripheral local infiltration and peribulbar block,for injection epidural intrathecal peripheral local infiltration and peribulbar block,"['peripheral', 'local', 'epidural', 'intrathecal']",['injection'],
Solution for Subcutaneous Injection,solution for subcutaneous injection,for subcutaneous injection,['subcutaneous'],['injection'],
Sterile Ophthalmic Suspension,sterile ophthalmic suspension,,,,
Topical Gel,topical gel,,,,
Controlled-Release Tablet,controlled-release tablet,,,,
Concentrate for Solution for Intravenous InfusionSolution for Injection,concentrate for solution for intravenous infusionsolution for injection,for solution for intravenous infusionsolution for injection,['intravenous'],['injection'],solution
Sterile Ophthalmic Solution (Eye Drops),sterile ophthalmic solution eye drops,,,,
