original,tokenized,drug_format
"Solution for Injection 
(I.V./I.M./Slow I.V. Infusion)",solution for injection iv im slow iv infusion,solution
Extended-Release Tablet (Equivalent to Divalproex Sodium),extended-release tablet equivalent to divalproex sodium,tablet
Solution For Injection (Im/Iv/Intrathecal),solution for injection im iv intrathecal,solution
Solution For Injection (IM/IV/Intrathecal),solution for injection im iv intrathecal,solution
Solution for nebulization,solution for nebulization,solution
Solution For Intramuscular Injrction,solution for intramuscular injrction,solution
IV Infusion,iv infusion,
I.V. Infusion,iv infusion,
Solution for Injection (Iv Infusion),solution for injection iv infusion,solution
Solution For Injection IM / IV,solution for injection im iv,solution
Solution For Injection Iv,solution for injection iv,solution
Injection for Injection (Iv),injection for injection iv,
Solution for Spinal Injection,solution for spinal injection,solution
Capsule (Enteric-Coated Pellets),capsule enteric-coated pellets,capsule
Solution For Injectin (IV Infusion),solution for injectin iv infusion,solution
Solution for Infusion (IV. Infusion),solution for infusion iv infusion,solution
Solution For Infusion (I.V. Infusion),solution for infusion iv infusion,solution
Solution for Injection (iv),solution for injection iv,solution
Powder For Injection (IMIV),powder for injection imiv,powder
Solutin For Injection,solutin for injection,
Powder For (IV),powder for iv,powder
"Solution for Injection 
(for Dental Infiltration)",solution for injection for dental infiltration,solution
"Lyophilized Powder For Injection
(I.V.)",lyophilized powder for injection iv,powder
Powder For Injection (Im / Iv),powder for injection im iv,powder
Film Cated Tablet,film cated tablet,tablet
Suspension For Oral Drops,suspension for oral drops,suspension
Suspension for Oral Drops,suspension for oral drops,suspension
Solution For Intravenous Injection (IV),solution for intravenous injection iv,solution
Oral Suspension (Alcohol-Free),oral suspension alcohol-free,suspension
Powder for Injection for Intravenous Infusion,powder for injection for intravenous infusion,powder
Sol'N For Topical Aerosol Spray,soln for topical aerosol spray,solution
Powder For Suspension (Cherry Flavor),powder for suspension cherry flavor,powder
Suspesnion,suspesnion,suspension
Solution For Injection (IM/IV/SC) or Infusion (IV),solution for injection im iv sc or infusion iv,solution
Modified Release Film Coated Tablet,modified release film coated tablet,tablet
Lyophilizedpowder For Intravenous Infusion,lyophilizedpowder for intravenous infusion,powder
Extended Release Film Coated Tablet,extended release film coated tablet,tablet
Film- Coated Tblet,film- coated tblet,
Solution For injection (Iv Infusion),solution for injection iv infusion,solution
Metered Dose Inhaler (CFC Free),metered dose inhaler cfc free,inhaler
Sulotion for IV Infusion,sulotion for iv infusion,lotion
Orodispersible tablet,orodispersible tablet,tablet
Oral Suspension (Drops),oral suspension drops,suspension
Lyophilized Powder For Injection (Iv/Im/Sc),lyophilized powder for injection iv im sc,powder
Solution For Injection (IV/IV Infusion),solution for injection iv iv infusion,solution
Solution For Injection (Iv/Iv Infusion),solution for injection iv iv infusion,solution
Corticosteroid,corticosteroid,
SOLUTION FOR I.V INFUSION,solution for iv infusion,solution
Powder For Injection  (IM/IV),powder for injection im iv,powder
Delayed Released Capsule,delayed released capsule,capsule
Powder For Injection( Iv),powder for injection iv,powder
Granules for suspension (Oral Drops),granules for suspension oral drops,suspension
Granules for Suspension (Oral drops),granules for suspension oral drops,suspension
Concentrated Solution For Inj. (IV Infusion),concentrated solution for inj iv infusion,solution
Concentrated Solution For I.V Infusion,concentrated solution for iv infusion,solution
"Suspension (Oral Drops, Lemon Flavor)",suspension oral drops lemon flavor,suspension
Suspension (Oral Drops) ( Lemon Flavor),suspension oral drops lemon flavor,suspension
Suspension (Oral Drops) (Lemon Flavor),suspension oral drops lemon flavor,suspension
ORODISPERSIBLE TABLET,orodispersible tablet,tablet
Lyophilized Powder for Injection(IM/IV),lyophilized powder for injectionim iv,powder
solution for injection (submucosal),solution for injection submucosal,solution
Solution For Intravenous Iv Infusion,solution for intravenous iv infusion,solution
Lyophilized Powder fro Injection,lyophilized powder fro injection,powder
Capsule (equivalent to 250 mg Ferrous Sulfate),capsule equivalent to mg ferrous sulfate,capsule
Lyophilized Powder For IV Injection/Infusion,lyophilized powder for iv injection infusion,powder
Emulsion For Injection (IV),emulsion for injection iv,emulsion
Powder For Injection(Im/Iv),powder for injectionim iv,powder
Syrup (Menthol Flavor),syrup menthol flavor,syrup
Powder For Solution For Injection (I.V.),powder for solution for injection iv,powder
Delayed-Release capsule,delayed-release capsule,capsule
Sterile Opthalmic Solution (Drops),sterile opthalmic solution drops,solution
Powder For Solution For Injection (Iv Infusion),powder for solution for injection iv infusion,powder
Powder For Solution For Injection (I.M./ I.V.),powder for solution for injection im iv,powder
Powder for Solution for Injection (I.V./I.M.),powder for solution for injection iv im,powder
"Solution For Injection (Im, Iv)",solution for injection im iv,solution
Lyophilized Powder For Injection (Im/Iv/Sc),lyophilized powder for injection im iv sc,powder
Powder For Solution for Intravenous Infusion,powder for solution for intravenous infusion,powder
sYrup,syrup,syrup
Solution For Injection (iv),solution for injection iv,solution
Powder For Solution For Injection Iv),powder for solution for injection iv,powder
Powder for Solution for IV Injection,powder for solution for iv injection,powder
Syrpu,syrpu,
Powder For Infusion (IV),powder for infusion iv,powder
Lyophilized Powder for Inj,lyophilized powder for inj,powder
Powder For Injection IV,powder for injection iv,powder
Solution For Injection(I.V),solution for injectioniv,solution
Oral Suspension (Raspberry flavor),oral suspension raspberry flavor,suspension
Sustained- Released Tablet,sustained- released tablet,suspension
Solution For Injection (IV/SC/IT),solution for injection iv sc it,solution
Lyophilized Powder for I.V Infusion,lyophilized powder for iv infusion,powder
Powder for solution for injection (IV),powder for solution for injection iv,powder
Powder for Solution Injection (IV),powder for solution injection iv,powder
Powder For Solution for Injection (IV),powder for solution for injection iv,powder
Powder For Soultion for Injection (IV),powder for soultion for injection iv,powder
Lyophylized Powder For Injection (IV Infusion),lyophylized powder for injection iv infusion,powder
Powder for I.V. Injection/Infusion,powder for iv injection infusion,powder
Delayed-release Capsule,delayed-release capsule,capsule
Solution For Injection (Im/Iv/Intra-Arterial/Intrathecal),solution for injection im iv intra-arterial intrathecal,solution
Solution for Diluent use only,solution for diluent use only,solution
Solution For Diluent Use Only,solution for diluent use only,solution
Suspension (Oral Drops) Banana Flavor,suspension oral drops banana flavor,suspension
Lozenge (Mint Flavor),lozenge mint flavor,lozenge
Lyophilized Powder For IV Injection,lyophilized powder for iv injection,powder
SUSTAINED RELEASE TABLET,sustained release tablet,suspension
Powder For Solution For Intravenous Injection,powder for solution for intravenous injection,powder
Powder for Inhalation in Capsule,powder for inhalation in capsule,powder
Solution for Topical Spray,solution for topical spray,solution
Granules For Oral Suspension (Orange Flavor),granules for oral suspension orange flavor,suspension
Granules For Suspension ( Orange Flavor),granules for suspension orange flavor,suspension
Solution for Injection (IV. Infusion),solution for injection iv infusion,solution
Powder for IV Injection/Infusion,powder for iv injection infusion,powder
Powder For Iv Injection/Infusion,powder for iv injection infusion,powder
Powder For Iv Injection/ Infusion,powder for iv injection infusion,powder
"Suspension for 
Nasal Spray",suspension for nasal spray,suspension
Suspension Of Nasal Spray,suspension of nasal spray,suspension
Emulsion For (Iv) Infusion,emulsion for iv infusion,emulsion
Lyophilized Powder for Injection (I.M./S.C. Use Only for Once a Month),lyophilized powder for injection im sc use only for once a month,powder
Lyophilized Powder for Injection (IM/SC Use Only for Once a Month),lyophilized powder for injection im sc use only for once a month,powder
Lyophilized Powder For Injection (IM/SC Use only for once a Month),lyophilized powder for injection im sc use only for once a month,powder
Suspension fo Nebulization,suspension fo nebulization,suspension
Enteric-coated Tablet,enteric-coated tablet,tablet
Granuels For Suspension,granuels for suspension,suspension
Lyophilized Powder for Injection (IV/IM),lyophilized powder for injection iv im,powder
Actuation Metered Dose Inhaler (CFC Free),actuation metered dose inhaler cfc free,inhaler
Concentarted Solution for I.V Infusion,concentarted solution for iv infusion,solution
Concentrate for IV Infusion,concentrate for iv infusion,concentrate
Powder For Injection (I.V./I..M.),powder for injection iv im,powder
Oral Solution Drops,oral solution drops,solution
Dry Powder Inhalation in Capsule,dry powder inhalation in capsule,powder
Delayed-Released Tablet,delayed-released tablet,tablet
Powder for Suspention,powder for suspention,powder
Solution for Injection (Iv),solution for injection iv,solution
Powder For Suspension (Oral Drops) (Strawberry Flavor),powder for suspension oral drops strawberry flavor,powder
Powder For Solution For IV Infusion,powder for solution for iv infusion,powder
Powder for Injrrction (I.M. / I.V.),powder for injrrction im iv,powder
Pegylated Liposomal Concentrated Solution For I.V. Infusion,pegylated liposomal concentrated solution for iv infusion,solution
"Ophthalmic 
Solution (Eye Drops)",ophthalmic solution eye drops,solution
Solution For Injecton (Iv),solution for injecton iv,solution
Nasal Solution (spray),nasal solution spray,solution
Syrup (Cola Flavor),syrup cola flavor,syrup
Gfs,gfs,
Lyophilized Powder For Injecion,lyophilized powder for injecion,powder
Film Coated  Tablet,film coated tablet,tablet
Each sugar-coated tablet contains: Thiamine Mononitrate (Vitamin B1) 300 mg Riboflavin (Vitamin B2) 30 mg Nicotinic Acid (Vitamin B3) 25 mg Pyridoxine HCl (Vitamin B6) 100 mg Cyanocobalamin (Vitamin B12),each sugar-coated tablet contains thiamine mononitrate vitamin b mg riboflavin vitamin b mg nicotinic acid vitamin b mg pyridoxine hcl vitamin b mg cyanocobalamin vitamin b,tablet
Each sugar-coated tablet contains: Thiamine Mononitrate (Vitamin B1) Pyridoxine HCl (Vitamin B6) Riboflavin (Vitamin B2) Nicotinic Acid (Vitamin B3) Cyanocobalamin (Vitamin B12),each sugar-coated tablet contains thiamine mononitrate vitamin b pyridoxine hcl vitamin b riboflavin vitamin b nicotinic acid vitamin b cyanocobalamin vitamin b,tablet
Ophthalmic / Otic Solution,ophthalmic otic solution,solution
Ophthalmic/ Otic Solution,ophthalmic otic solution,solution
Oral Suspension (Oral Drops),oral suspension oral drops,suspension
Topical gel,topical gel,
Powder for Solution fo Injection (IV/SC),powder for solution fo injection iv sc,powder
Ophthalmic Solution Drops,ophthalmic solution drops,solution
per ml Solution for injection,per ml solution for injection,solution
Powder for Infection (IV),powder for infection iv,powder
Powder for Solution,powder for solution,powder
sachet Suspension,sachet suspension,suspension
Powder For Injection (I.V. Infusion),powder for injection iv infusion,powder
Lyophilized Powder For Injection (For IV Infusion),lyophilized powder for injection for iv infusion,powder
Lyophilized Powder for Injection (for IV Infusion),lyophilized powder for injection for iv infusion,powder
Solution For Injection (Intramuscular Only),solution for injection intramuscular only,solution
Solution For Injection (Intramasucular Only),solution for injection intramasucular only,solution
Lyophilized Powder for solution for IV Infusion,lyophilized powder for solution for iv infusion,powder
Concetrate Solution For Intravenous Infusion,concetrate solution for intravenous infusion,solution
Fil-Coated Tablet,fil-coated tablet,tablet
Lyophilized Powder For  Injection (IV),lyophilized powder for injection iv,powder
Long Acting Film-Coated Tablet,long acting film-coated tablet,tablet
Sachet Herbal Tea,sachet herbal tea,sachet
Iv/Im,iv im,
Pastille,pastille,pastille
Solution for Injection IM/IV,solution for injection im iv,solution
Powder for Solution for Injection,powder for solution for injection,powder
Powder For Solution For Injection (IV/SC),powder for solution for injection iv sc,powder
Solution for Injection  (Slow I.V. Infusion),solution for injection slow iv infusion,solution
Sterile Ophtalmic Solution (Eye Drops),sterile ophtalmic solution eye drops,solution
Eye &amp; Ear Suspension,eye amp ear suspension,suspension
Opthalmic and Otic Suspension,opthalmic and otic suspension,suspension
Ophthalmic and Otic Suspension,ophthalmic and otic suspension,suspension
Lyophilized Powder for Injection for Infusion,lyophilized powder for injection for infusion,powder
Lyophilized powder for I.V infusion,lyophilized powder for iv infusion,powder
Powder In Capsule For Inhalation,powder in capsule for inhalation,powder
Powder For I.V Injection,powder for iv injection,powder
"Solution for Injection 
(I.M./I.V. Infusion)",solution for injection im iv infusion,solution
Film-Coated  Tablet,film-coated tablet,tablet
Tropical Cream,tropical cream,cream
Tropical Ointment,tropical ointment,ointment
Ampoules,ampoules,
Solution For Infusion (IM/IV),solution for infusion im iv,solution
Syrup(Oral drops),syruporal drops,syrup
Solution For Injection (SC/IM/IV),solution for injection sc im iv,solution
metered dose inhaler,metered dose inhaler,inhaler
solution for inhalation,solution for inhalation,solution
Delayed - Release Capsule,delayed - release capsule,capsule
Powder Suspension,powder suspension,powder
Lyophilized Powder for Infusion,lyophilized powder for infusion,powder
Powder For Solution For Injection (I.V),powder for solution for injection iv,powder
Powder For Injection (I.V/I.M),powder for injection iv im,powder
Transdermal Drug Delivery System,transdermal drug delivery system,system
Lyophilized Powder For Solution,lyophilized powder for solution,powder
Drops,drops,drops
Lyophilized Powder For Injection (I. V. Infusion),lyophilized powder for injection i v infusion,powder
Lyophilized Powder for Injection(I.V. Infusion),lyophilized powder for injectioniv infusion,powder
Powder for Solution for Injection (I.V.),powder for solution for injection iv,powder
Enteric - Coated Tablet,enteric - coated tablet,tablet
Contrate Solution For Iv Infusion,contrate solution for iv infusion,solution
Lyophilized Powder For Injection/Infusion (I.V.),lyophilized powder for injection infusion iv,powder
Delayed-release Tablet,delayed-release tablet,tablet
Powder for Injection/Infusion,powder for injection infusion,powder
Orally-Disintegrating Tablet,orally-disintegrating tablet,tablet
Iv Infusion,iv infusion,
Powder fo IV Infusion,powder fo iv infusion,powder
Concentrate for Intravenous Infusion,concentrate for intravenous infusion,concentrate
Oral Drops Solution,oral drops solution,solution
Solution For Injection (I.M / I.V),solution for injection im iv,solution
Suspension For Injection (IM/IA),suspension for injection im ia,suspension
Topical Solution (Mouth Paint),topical solution mouth paint,solution
Dispesible Tablet,dispesible tablet,tablet
Solution for Injection (I.M./I.V./S.C.,solution for injection im iv sc,solution
Solution for Injection (I.M./I. V./S.C.),solution for injection im i v sc,solution
Total Parenteral Nutrition,total parenteral nutrition,
Coated Tablet,coated tablet,tablet
Modified Release tablet,modified release tablet,tablet
Lyophilized Powder For Injection/Infusion,lyophilized powder for injection infusion,powder
Lyophilized Powder For  Injection/Infusion,lyophilized powder for injection infusion,powder
Film-Coated Caplet,film-coated caplet,capsule
Oral Suspension (Strawberry Flavor),oral suspension strawberry flavor,suspension
Powder For Injection(I.M./I.V.),powder for injectionim iv,powder
Powder Of Injection (IM/IV),powder of injection im iv,powder
"Lyophilized Powder for Solution for 
IV Infusion",lyophilized powder for solution for iv infusion,powder
Solution for IV. Infusion,solution for iv infusion,solution
Powder For Injection (I.M./ I.V.0,powder for injection im iv,powder
Concentrate Solution for Infusion (I.V.),concentrate solution for infusion iv,concentrate
Solution for Injection I.V. Infusion,solution for injection iv infusion,solution
Emulsion For Injection/Infusion (IV),emulsion for injection infusion iv,emulsion
Powder For Injection (Im/Vi),powder for injection im vi,powder
Powder Of Injection (Im/Iv),powder of injection im iv,powder
Lyophilized Powder For Intravenous Injection,lyophilized powder for intravenous injection,powder
Solution For Injection (I.M. And I.V.),solution for injection im and iv,solution
Enteric-Coated,enteric-coated,
Powder For Solution For Injection (I.M./I.V.),powder for solution for injection im iv,powder
Lyophilized Powder For Injection (Iv/Sc),lyophilized powder for injection iv sc,powder
100mg Hard Gelatin Capsule,mg hard gelatin capsule,capsule
Pegylated Liposomal Concentrate Solution For Iv Infusion,pegylated liposomal concentrate solution for iv infusion,concentrate
Concentrate Solution For Infusion (I.V.),concentrate solution for infusion iv,concentrate
Pegylated Liposomal Suspension for Intravenous Infusion,pegylated liposomal suspension for intravenous infusion,suspension
Lyophilized Power For Injection (IV),lyophilized power for injection iv,powder
Solution For Injection  (IM/IV  Infusion),solution for injection im iv infusion,solution
Oral Dispersible Tablet,oral dispersible tablet,tablet
Syrup (Grapes Flavor),syrup grapes flavor,syrup
Sustained-Released Tablet,sustained-released tablet,suspension
Effervescent Tablet (Orange Tablet),effervescent tablet orange tablet,tablet
Dispersible Tablets for Oral Suspension,dispersible tablets for oral suspension,suspension
Powder for injection (IV/IM),powder for injection iv im,powder
Solution For Injection (I.M./S.C./I.V. Infusion),solution for injection im sc iv infusion,solution
Solution for Injection (1.V.),solution for injection v,solution
Lyophilized Mass For Injection (IV),lyophilized mass for injection iv,lyophilisate
Volatile liquid for inhalation,volatile liquid for inhalation,liquid
Prolonged -Release Tablet,prolonged -release tablet,tablet
Lyophilized Powder for Injection  (I.V. Infusion),lyophilized powder for injection iv infusion,powder
Concentrate Solution for Injection for I.V. Infusion,concentrate solution for injection for iv infusion,concentrate
Powder For Injection (I.M. / I.V. ),powder for injection im iv,powder
"Solution for IV Injection 
(Intravenous Infusion)",solution for iv injection intravenous infusion,solution
Solution for Injection (IV,solution for injection iv,solution
"Solution for Intravenous 
Infusion",solution for intravenous infusion,solution
Sterile Opthalmic Suspension (Eye Drops),sterile opthalmic suspension eye drops,suspension
Lyophilized Power for Solution for Intravenous Infusion,lyophilized power for solution for intravenous infusion,powder
Granules For Solution( Orange Flavor),granules for solution orange flavor,solution
Granules For Solution (Orange Flavor),granules for solution orange flavor,solution
Lyophilized Powder For Solution For Injection (I.V./S.C.),lyophilized powder for solution for injection iv sc,powder
Dry Powder in Capsule for Oral Inhalation,dry powder in capsule for oral inhalation,powder
Powder For Injection (IV / IM),powder for injection iv im,powder
"Lyophized Powder for Injection for I.V. 
Infusion",lyophized powder for injection for iv infusion,powder
Solution For Injection (I.M./I.V),solution for injection im iv,solution
Liposomal Injection,liposomal injection,
Syrup (Strawberry-Vanilla Flavor),syrup strawberry-vanilla flavor,syrup
Dry Powder for Inhalation (DPI),dry powder for inhalation dpi,powder
Lyophilized Powder For Injecttion (Iv),lyophilized powder for injecttion iv,powder
"Solution for I.V. Injection or 
Infusion",solution for iv injection or infusion,solution
Chewable Tablet (see reverse),chewable tablet see reverse,tablet
Powder For Injection For I.V. Infusion,powder for injection for iv infusion,powder
Drc,drc,
Solution for (I.V.) Infusion,solution for iv infusion,solution
"Solution for Injection (Intrathecal/Intravascular/Intraarticular/Oral or Rectal Administration/Oral in Conjunction with 
Intravenous Administration/Body Cavity)",solution for injection intrathecal intravascular intraarticular oral or rectal administration oral in conjunction with intravenous administration body cavity,solution
Oral solution (Oral Drops),oral solution oral drops,solution
Metered Inhaler Dose,metered inhaler dose,inhaler
Powder for oral solution,powder for oral solution,powder
"Lyophilized Powder for Solution for Injection 
(I.V./S.C.",lyophilized powder for solution for injection iv sc,powder
"Formulation Each 5mL contains Retinol Palmitate (Vitamin A)- 
4,000 IU  Ergocalciferol (Vitamin D2 )-
200 IU  Ascorbic Acid (Vitamin C)-100mg  Nicotinamide (Vitamin B3)- 
12.5 mg  Calcium Pantothenate (Vitamin B5)-10mg  Thiamine Hydrochloride (Vitamin B1)-5mg   Riboflavin (Vitamin B2) -5 mg  Pyridoxine Hydrochloride (Vitamin B6)- 
5 mg  Cyanocobalamin (Vitamin B12) -3mcg",formulation each ml contains retinol palmitate vitamin a- iu ergocalciferol vitamin d - iu ascorbic acid vitamin c-mg nicotinamide vitamin b- mg calcium pantothenate vitamin b-mg thiamine hydrochloride vitamin b-mg riboflavin vitamin b - mg pyridoxine hydrochloride vitamin b- mg cyanocobalamin vitamin b -mcg,alcohol
Solution for Injection for Epidural/Caudal/Peripheral Nerves,solution for injection for epidural caudal peripheral nerves,solution
Lyophilized Powder for Solution for Injection (I.V./S.C.),lyophilized powder for solution for injection iv sc,powder
Lyophilized Powder for Solution for Injection (I.V.),lyophilized powder for solution for injection iv,powder
Lyophilized Powder for Injection for I. V. Infusion,lyophilized powder for injection for i v infusion,powder
Solution For Injection/Infusion (I.M./I.V.),solution for injection infusion im iv,solution
Solution For Injection (I.V./I.M),solution for injection iv im,solution
Powder For IV Infusion,powder for iv infusion,powder
Suspension (Tutti-Fruti Flavor),suspension tutti-fruti flavor,suspension
Suspension (Oral Drops) (Tutti-Fruti Flavor),suspension oral drops tutti-fruti flavor,suspension
Sterile Powder for Injection (I.M./I.V.),sterile powder for injection im iv,powder
Liquid Inhalation,liquid inhalation,liquid
Syrup (Caramel Flavor),syrup caramel flavor,syrup
Solution For Injection (Im / Iv),solution for injection im iv,solution
Syrup (Oral drops) (Grape Flavor),syrup oral drops grape flavor,syrup
Syrup (Tutti Frutti Flavor),syrup tutti frutti flavor,syrup
Oral Solution (Grape Flavor),oral solution grape flavor,solution
Film-Coated,film-coated,
"Sterile 
Ophthalmic Solution (Eye Drops)",sterile ophthalmic solution eye drops,solution
I.U. Tablet,iu tablet,tablet
Powder for Suspension (Strawberry flavor),powder for suspension strawberry flavor,powder
Solution For Injection(I.M./I.V.),solution for injectionim iv,solution
Power for Oral Solution,power for oral solution,powder
Power For Oral Solution,power for oral solution,powder
Powder For Oral Solution (Lemon flavor),powder for oral solution lemon flavor,powder
"Solution for Injection 
(for Local infiltration, Epidural, Caudal, 
Peripheral nerves, and Sympathetic)",solution for injection for local infiltration epidural caudal peripheral nerves and sympathetic,solution
"Solution for Injection (for Local infiltration, Epidural, Caudal, Peripheral nerves, and Sympathetic)",solution for injection for local infiltration epidural caudal peripheral nerves and sympathetic,solution
Ophthalmic Solution (Eye drops),ophthalmic solution eye drops,solution
Controlled-release Tablet,controlled-release tablet,tablet
Lyophilized Powder for Injecttion (IV),lyophilized powder for injecttion iv,powder
Syrup (Oral Drops) Cherry Flavor,syrup oral drops cherry flavor,syrup
Solution For Injectin (I.V),solution for injectin iv,solution
Granules for Oral Use,granules for oral use,granules
Powder for Oral Suspension (Orange Flavor),powder for oral suspension orange flavor,powder
Syrup (Sweet Orange Flavor),syrup sweet orange flavor,syrup
Dragée,dragée,
Pill,pill,
Syrup (Ponkan Flavor),syrup ponkan flavor,syrup
Dragee,dragee,dragee
"Syrup (Oral 
Drops)",syrup oral drops,syrup
Caspsule,caspsule,
Syrup (Lemon Orange),syrup lemon orange,syrup
Syrup (Peppermint Flavor),syrup peppermint flavor,syrup
syrup,syrup,syrup
Syrup (Sweet-Orange Flavor),syrup sweet-orange flavor,syrup
Syrup (Soothing Mint Flavor),syrup soothing mint flavor,syrup
SYRUP (Peppermint Flavor),syrup peppermint flavor,syrup
"Syrup(Menthol Flavor, Sugar Free)",syrupmenthol flavor sugar free,syrup
Capsule (equivalent to 50 mg extract),capsule equivalent to mg extract,capsule
Powder For Oral Suspension (ORange Flavor),powder for oral suspension orange flavor,powder
Syrup (Mint with Honey Flavor),syrup mint with honey flavor,syrup
"Syrup (Bubblegum, Tutti-Frutti, and Menthol Flavor)",syrup bubblegum tutti-frutti and menthol flavor,syrup
"Syrup (Bubblegum, Tutti-Frutti, and 
Menthol Flavor)",syrup bubblegum tutti-frutti and menthol flavor,syrup
Capsule (equivalent to 562.43 mg Sodium Ascorbate),capsule equivalent to mg sodium ascorbate,capsule
Suspension  (Oral Drops),suspension oral drops,suspension
Syrup (Strawberry Cherry Vanilla Flavor),syrup strawberry cherry vanilla flavor,syrup
Oral Solution for Gargle,oral solution for gargle,solution
Suspension (Oral Drops) (Alcohol Free) (Tutti Frutti Flavor),suspension oral drops alcohol free tutti frutti flavor,suspension
Suspension (Alcohol Free) (Lemon Flavor),suspension alcohol free lemon flavor,suspension
Suspension (Oral Drops) (Cherry Flavor),suspension oral drops cherry flavor,suspension
Powder for Solution (Melon Flavor),powder for solution melon flavor,powder
Suspension (Alcohol-free),suspension alcohol-free,suspension
Suspension (Oral Drops) (Alcohol-Free),suspension oral drops alcohol-free,suspension
SYRUP (ORAL DROPS),syrup oral drops,syrup
Tablet Chewable,tablet chewable,tablet
10% SOLUTION,solution,solution
Hexetidine,hexetidine,
Stick Liniment,stick liniment,liniment
10% Solution,solution,solution
Lozenge (Black Currant Flavor),lozenge black currant flavor,lozenge
Topical Lotion Liniment,topical lotion liniment,lotion
solution,solution,solution
Topical Solution (Surgical Handwash),topical solution surgical handwash,solution
Solution (Body Wash),solution body wash,solution
Solution (Surgical Scrub),solution surgical scrub,solution
Suspension (Cherry Flavor),suspension cherry flavor,suspension
Syrup (Cherry Tutti-Frutti-Flavor),syrup cherry tutti-frutti-flavor,syrup
Wound Solution,wound solution,solution
Cleaning Solution (Feminine Wash),cleaning solution feminine wash,solution
Powder For Oral Solution (Apple Flavor),powder for oral solution apple flavor,powder
Powder For Oral Solution (Orange Flavor),powder for oral solution orange flavor,powder
"Powder for Oral 
Solution (Orange Flavor)",powder for oral solution orange flavor,powder
Suspension (Oral Drops) Melon Flavor,suspension oral drops melon flavor,suspension
Lozenge (Peppermint Flavor),lozenge peppermint flavor,lozenge
"Powder for Solution 
(Orange Flavor)",powder for solution orange flavor,powder
Powder for Solution (Orange Flavor),powder for solution orange flavor,powder
Liniment (Extra Strength),liniment extra strength,liniment
Gel Patch,gel patch,patch
Solution (Nenuco Fragrance),solution nenuco fragrance,solution
"Solution 
(Star Air Fragrance)",solution star air fragrance,solution
"Topical Solution 
(Toner)",topical solution toner,solution
"Topical 
Cream",topical cream,cream
Oral solution (Gargle),oral solution gargle,solution
Skin Wipe,skin wipe,wipe
Swab Pad,swab pad,
"Topical 
Solution (Cucumber Scent)",topical solution cucumber scent,solution
Ointment (for external use),ointment for external use,ointment
Oral Powder,oral powder,powder
Refer to generic name,refer to generic name,
Solution for Spot-On Application,solution for spot-on application,solution
Freeze-dried Powder for Injection,freeze-dried powder for injection,powder
Effervescent Tablet For Suspension,effervescent tablet for suspension,suspension
Lyophilized Powder for Injection (In-Ovo/SC),lyophilized powder for injection in-ovo sc,powder
"Solution for Freeze 
Dried Vaccine (IM/SC)",solution for freeze dried vaccine im sc,solution
7.5 mg/mL Solution for Injection (IM/SC),mg ml solution for injection im sc,solution
"Feed Premix Powder 
(Strawberry Flavor)",feed premix powder strawberry flavor,powder
Freeze Dried Tablet for Injectable Suspension (Wing Web),freeze dried tablet for injectable suspension wing web,suspension
Freeze Dried Powder for Injection (SC),freeze dried powder for injection sc,powder
Feed Powder Premix,feed powder premix,powder
"Freeze-Dried Powder for 
Injection (ID/IM)",freeze-dried powder for injection id im,powder
Emulsion for Injection (SC),emulsion for injection sc,emulsion
"Emulsion for Injection 
(IM/SC)",emulsion for injection im sc,emulsion
Emulsion for Injection (IM),emulsion for injection im,emulsion
Emulsion for Injection (IM/SC),emulsion for injection im sc,emulsion
"Suspension for Injection 
(IM)",suspension for injection im,suspension
Test Kits,test kits,kit
Freeze Dried Powder for Suspension (Intraocular/Aerosol/Oral),freeze dried powder for suspension intraocular aerosol oral,powder
Freeze Dried Powder for Suspension (Oral/Intranasal/Intraocular/Aerosol),freeze dried powder for suspension oral intranasal intraocular aerosol,powder
Feed Premix Solution,feed premix solution,solution
Freeze-Dried Powder for Injection (In-Ovo/SC),freeze-dried powder for injection in-ovo sc,powder
