original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
Freeze-dried Powder for Injection (SC),freeze-dried powder for injection sc,freeze-dried powder,injection sc,powder,,['sc'],['injection']
Lyophilized Powder for Solution for Injection (IM),lyophilized powder for solution for injection im,lyophilized powder,solution for injection im,powder,solution,['im'],['injection']
Concentrate for Solution for Injection (IV Infusion),concentrate for solution for injection iv infusion,concentrate,solution for injection iv infusion,concentrate,solution,['iv'],"['injection', 'infusion']"
Suspension (Oral),suspension oral,suspension oral,,suspension,,[],[]
Solution For Intravenous Infusion,solution for intravenous infusion,solution,intravenous infusion,solution,,['intravenous'],['infusion']
Solution For SC Injection,solution for sc injection,solution,sc injection,solution,,['sc'],['injection']
Powder For Conc. For Sol'N For Iv Infusion,powder for conc for soln for iv infusion,powder,conc for soln for iv infusion,powder,conc,['iv'],['infusion']
"Lyophilized Powder For Solution 
for Injection (SC)",lyophilized powder for solution for injection sc,lyophilized powder,solution for injection sc,powder,solution,['sc'],['injection']
Suspension For Injection (Sc),suspension for injection sc,suspension,injection sc,suspension,,['sc'],['injection']
"Freeze-Dried Powder for Solution for Injection 
(IM/SC)",freeze-dried powder for solution for injection im sc,freeze-dried powder,solution for injection im sc,powder,solution,"['im', 'sc']",['injection']
Freeze-Dried Powder for Solution for IM/SC Injection,freeze-dried powder for solution for im sc injection,freeze-dried powder,solution for im sc injection,powder,solution,"['im', 'sc']",['injection']
Lyophilized Powder For Injection (Sc),lyophilized powder for injection sc,lyophilized powder,injection sc,powder,,['sc'],['injection']
Lyophilized Powder for Solution for Injection,lyophilized powder for solution for injection,lyophilized powder,solution for injection,powder,solution,[],['injection']
Lyophilized Powder for Solution for Injection (IM / SC),lyophilized powder for solution for injection im sc,lyophilized powder,solution for injection im sc,powder,solution,"['im', 'sc']",['injection']
Vial,vial,vial,,vial,,[],[]
Lyophilized Solution for Injection,lyophilized solution for injection,lyophilized solution,injection,solution,,[],['injection']
Suspension for Injection (I.M),suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Solution For Injection (Im-Iv-Sc),solution for injection im-iv-sc,solution,injection im-iv-sc,solution,,"['im', 'sc', 'iv']",['injection']
Solution For Injection (Iv)/ 5000 Iu/Ml (25000 Iu/Ml),solution for injection iv iu ml iu ml,solution,injection iv iu ml iu ml,solution,,['iv'],['injection']
Solution For Injection (Iv)/ 1000 Iu/Ml (5000 Iu/5 Ml),solution for injection iv iu ml iu ml,solution,injection iv iu ml iu ml,solution,,['iv'],['injection']
Enoxaparin Sodium,enoxaparin sodium,enoxaparin sodium,,,,[],[]
Powder For Injection (I.V.),powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Suspension for Injection,suspension for injection,suspension,injection,suspension,,[],['injection']
Solution for Infusion (I.V.),solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Solution For Injection (Im/Sc),solution for injection im sc,solution,injection im sc,solution,,"['im', 'sc']",['injection']
Solution for Infusion IV,solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Solution For Infusion (I.V.),solution for infusion iv,solution,infusion iv,solution,,['iv'],['infusion']
Lyophilized Powder For Injection (Iv),lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
"Suspension for Injection (SC)
(30% Regular Insulin Human/70% Isophane Insulin Human)",suspension for injection sc regular insulin human isophane insulin human,suspension,injection sc regular insulin human isophane insulin human,suspension,,['sc'],['injection']
Suspension for Injection (SC) (30% Regular Insulin Human/70% Isophane Insulin Human),suspension for injection sc regular insulin human isophane insulin human,suspension,injection sc regular insulin human isophane insulin human,suspension,,['sc'],['injection']
Powder For Oral Suspension,powder for oral suspension,powder,oral suspension,powder,suspension,['oral'],['suspension']
Solution For Injection (Iv/SC),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution For Injection (I.V/S.C),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Powder For Solution For Injection (Sc),powder for solution for injection sc,powder,solution for injection sc,powder,solution,['sc'],['injection']
Lyophilized Powder For Solution For Injection (Im/Id),lyophilized powder for solution for injection im id,lyophilized powder,solution for injection im id,powder,solution,"['im', 'id']",['injection']
Powder for Injection (IM/SC),powder for injection im sc,powder,injection im sc,powder,,"['im', 'sc']",['injection']
Solution For Injection (Equine),solution for injection equine,solution,injection equine,solution,,[],['injection']
Solution For Injection (Iv / Sc),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution for Injection IV / SC,solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution For Injection(IV/SC),solution for injectioniv sc,solution,injectioniv sc,solution,,['sc'],[]
Solution For Injection(Iv/Sc),solution for injectioniv sc,solution,injectioniv sc,solution,,['sc'],[]
Solution for Infusion,solution for infusion,solution,infusion,solution,,[],['infusion']
Solution For Injection SC / IV,solution for injection sc iv,solution,injection sc iv,solution,,"['sc', 'iv']",['injection']
Solution For Injection (I.V.),solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
Solution For Injection I.M,solution for injection im,solution,injection im,solution,,['im'],['injection']
Solultion For Injection (IV/SC),solultion for injection iv sc,solultion,injection iv sc,,,"['sc', 'iv']",['injection']
Powder for Solution for Injection (IM/SC),powder for solution for injection im sc,powder,solution for injection im sc,powder,solution,"['im', 'sc']",['injection']
Powder for Suspension (Oral Drops),powder for suspension oral drops,powder,suspension oral drops,powder,suspension,['oral'],['suspension']
"Concentrate for Solution for Infusion 
(IV)",concentrate for solution for infusion iv,concentrate,solution for infusion iv,concentrate,solution,['iv'],['infusion']
Concentrate For Solution For Injection,concentrate for solution for injection,concentrate,solution for injection,concentrate,solution,[],['injection']
Concentrate for Solution For Infusion (IV),concentrate for solution for infusion iv,concentrate,solution for infusion iv,concentrate,solution,['iv'],['infusion']
"Solution for Injection 
(IV/SC)",solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
"Solution for Injection 
(IV)",solution for injection iv,solution,injection iv,solution,,['iv'],['injection']
"Concentrate for Solution 
for Injection (IV Infusion)",concentrate for solution for injection iv infusion,concentrate,solution for injection iv infusion,concentrate,solution,['iv'],"['injection', 'infusion']"
Solution for injection (IV/SC),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
"Solution for 
Injection (IV/SC",solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution for Injection (IM/IV),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
"Solution For Injection (I.V., S.C.)",solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
"Solution for 
Injection (SC",solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
"Solution for 
Injection (SC/IV)",solution for injection sc iv,solution,injection sc iv,solution,,"['sc', 'iv']",['injection']
Film-Coated Tablets,film-coated tablets,film-coated tablets,,tablets,,[],[]
Film-Coated Tablet,film-coated tablet,film-coated tablet,,tablet,,[],[]
Film-coated Tablet,film-coated tablet,film-coated tablet,,tablet,,[],[]
"Concentrate for Solution for 
Infusion (IV)",concentrate for solution for infusion iv,concentrate,solution for infusion iv,concentrate,solution,['iv'],['infusion']
Film Coated Tablet,film coated tablet,film coated tablet,,tablet,,[],[]
Sugar Coated Tablet,sugar coated tablet,sugar coated tablet,,tablet,,[],[]
Film Coated Tablets,film coated tablets,film coated tablets,,tablets,,[],[]
Film-Coated Tab,film-coated tab,film-coated tab,,tab,,[],[]
Solution for Injection (IV/IM),solution for injection iv im,solution,injection iv im,solution,,"['im', 'iv']",['injection']
Solution for Injection (I.V./I.M.),solution for injection iv im,solution,injection iv im,solution,,"['im', 'iv']",['injection']
Film-coated tablet,film-coated tablet,film-coated tablet,,tablet,,[],[]
Solution for Injection (I.M./I.V.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
"Solution for Injection 
(I.M./I.V.)",solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution For Injection (I.V./I.M.),solution for injection iv im,solution,injection iv im,solution,,"['im', 'iv']",['injection']
Film- Coated Tablet,film- coated tablet,film- coated tablet,,tablet,,[],[]
Solution for Injection (I.V./I.M.,solution for injection iv im,solution,injection iv im,solution,,"['im', 'iv']",['injection']
Solution For Injection (Im/Iv),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution For Injection (I.M./I.V.),solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
"Solution for Injection 
(I.V./I.M./Intrasynovial)",solution for injection iv im intrasynovial,solution,injection iv im intrasynovial,solution,,"['intrasynovial', 'im', 'iv']",['injection']
